Country,Rank,Score,Change
Singapore,1,83.5,0.4
Switzerland,2,83.0,0.8
Ireland,3,82.0,
Taiwan,4,80.7,0.6
New Zealand,5,78.9,1.7
Estonia,6,78.6,1.4
Luxembourg,7,78.4,2.2
Netherlands,8,78.0,1.5
Denmark,9,77.6,0.4
Sweden,10,77.5,0.4
Finland,11,77.1,1.2
Norway,12,76.9,
Australia,13,74.8,2.9
Germany,14,73.7,2.4
South Korea,14,73.7,0.9
Canada,14,73.7,2.9
Latvia,17,72.8,2.0
Cyprus,18,72.3,0.6
Iceland,19,72.2,4.8
Lithuania,19,72.2,3.6
Czech Republic,21,71.9,2.5
Chile,22,71.1,3.3
Austria,22,71.1,2.7
United Arab Emirates,24,70.9,0.7
United States,25,70.6,1.5
Mauritius,25,70.6,0.3
Uruguay,27,70.2,0.2
United Kingdom,28,69.9,2.8
Barbados,29,69.8,1.5
Portugal,30,69.5,1.3
Japan,31,69.3,0.6
Bulgaria,31,69.3,1.7
Slovakia,33,69.0,0.7
Israel,34,68.9,0.9
Georgia,35,68.7,3.1
Qatar,36,68.6,0.9
Slovenia,37,68.5,2.0
Samoa,38,68.3,
Jamaica,39,68.1,0.7
Poland,40,67.7,1.0
Malta,41,67.5,4.0
Malaysia,42,67.3,0.8
Belgium,43,67.1,2.5
Peru,44,66.5,
Costa Rica,44,66.5,1.1
Croatia,46,66.4,1.2
Romania,47,67.1,2.4
Hungary,48,66.9,0.3
Cabo Verde,49,66.7,2.9
Albania,50,66.6,1.4
Spain,51,66.5,1.2
France,52,65.9,0.2
North Macedonia,53,65.7,2.9
Saint Vincent and the Grenadines,54,65.7,0.6
The Bahamas,55,65.4,1.2
Panama,56,65.4,0.8
Italy,57,65.4,0.5
Armenia,58,65.3,6.6
Serbia,59,65.2,2.0
Colombia,60,65.1,3.0
Botswana,61,64.8,2.8
Brunei Darussalam,62,64.8,1.8
Indonesia,63,64.4,2.5
Kazakhstan,64,64.4,6.7
Saint Lucia,65,64.3,3.2
Mongolia,66,63.9,1.5
Mexico,67,63.7,1.8
Bosnia and Herzegovina,68,63.4,0.5
Guatemala,69,63.2,0.8
Thailand,70,63.2,6.5
Dominican Republic,71,63.0,0.9
Vanuatu,72,62.9,2.4
Paraguay,73,62.9,0.3
Bahrain,74,62.0,7.9
Azerbaijan,75,61.6,8.5
Ivory Coast,76,61.6,0.1
Greece,77,61.5,0.6
Moldova,78,61.3,1.2
Seychelles,79,61.1,5.2
Philippines,80,61.1,3.0
Benin,81,61.0,1.4
Micronesia,82,61.0,10.6
Tonga,83,60.8,3.3
Vietnam,84,60.6,1.1
São Tomé and Príncipe,85,60.3,4.4
Kosovo,86,60.1,6.4
Jordan,87,60.1,4.5
Senegal,88,60.0,2.0
Ghana,89,59.8,0.6
El Salvador,90,59.6,1.4
Guyana,91,59.5,2.1
Honduras,92,59.5,0.3
Tanzania,93,59.5,1.8
Bhutan,94,59.3,1.0
Namibia,95,59.2,3.4
Kiribati,96,59.2,14.8
Morocco,97,59.2,4.1
Madagascar,98,58.9,1.2
Trinidad and Tobago,99,58.8,0.2
Burkina Faso,100,58.3,1.8
Kuwait,101,58.3,5.8
The Gambia,102,58.0,0.8
Montenegro,103,57.8,5.6
Togo,104,57.2,0.3
Rwanda,105,57.1,11.2
Cambodia,106,57.1,0.2
Turkey,107,56.9,7.1
Oman,108,56.6,8.0
Belize,109,56.6,0.9
Solomon Islands,110,56.5,0.0
Fiji,111,56.4,5.8
South Africa,112,56.2,3.5
Russia,113,56.1,5.4
Mali,114,55.9,0.3
Gabon,115,55.8,2.3
Kyrgyzstan,116,55.8,7.9
Uzbekistan,117,55.7,2.6
Saudi Arabia,118,55.5,10.5
Mauritania,119,55.3,0.8
Djibouti,120,55.3,0.9
Niger,121,54.9,2.4
Nicaragua,122,54.8,1.5
Papua New Guinea,123,54.6,4.3
Nigeria,124,54.4,4.3
Dominica,125,54.4,1.4
Ecuador,126,54.3,1.9
Uganda,127,54.2,4.4
Tunisia,128,54.2,2.4
Guinea,129,54.2,2.3
Ukraine,130,54.1,2.1
India,131,53.9,2.6
Sri Lanka,132,53.3,2.4
Brazil,133,53.3,0.1
Malawi,134,53.0,0.0
Belarus,135,53.0,8.0
Cameroon,136,52.9,0.5
Bangladesh,137,52.7,3.8
Kenya,138,52.6,2.3
Angola,139,52.6,1.6
Sierra Leone,140,52.0,0.3
Eswatini,141,51.4,3.7
Mozambique,142,51.3,0.3
Comoros,143,50.4,5.3
Argentina,144,50.1,2.6
Haiti,145,50.0,0.8
Chad,146,49.8,0.6
