Unnamed: 0_level_0,2020[32],2020[32],2020[32],2019[33],2019[33],2019[33],2018[34],2018[34],2018[34],2017[35],2017[35],2017[35],2016[36],2016[36],2016[36],2015[37],2015[37],2015[37],2014[38],2014[38],2014[38],2013[39],2013[39],Unnamed: 24_level_0
Country,Rank,Score,Change in Yearly Score from 2019,Rank,Score,Change in Yearly Score from 2018,Rank,Score,Change in Yearly Score from 2017,Rank,Score,Change in Yearly Score from 2016,Rank,Score,Change in Yearly Score from 2015,Rank,Score,Change in Yearly Score from 2014,Rank,Score,Change in Yearly Score from 2013,Rank,Score,Unnamed: 24_level_1
Singapore,1,89.4,0.0,2,89.4,0.6,2,88.8,0.2,2,88.6,0.8,2,87.8,-1.6,2,89.4,0.0,2,89.4,1.4,2,88.0,
New Zealand,3,84.1,-0.3,3,84.4,0.2,3,84.2,0.5,3,83.7,2.1,3,81.6,-0.5,3,82.1,0.9,5,81.2,-0.2,4,81.4,
Switzerland,5,82.0,0.1,4,81.9,0.2,4,81.7,0.2,4,81.5,0.5,4,81.0,0.5,5,80.5,-1.1,4,81.6,0.6,5,81.0,
Australia,4,82.6,1.7,5,80.9,0.0,5,80.9,-0.1,5,81.0,0.7,5,80.3,-1.1,4,81.4,-0.6,3,82.0,-0.6,3,82.6,
Estonia,10,77.7,1.1,15,76.6,-2.2,7,78.8,-0.3,6,79.1,1.9,9,77.2,0.4,8,76.8,0.9,11,75.9,0.6,13,75.3,
Canada,9,78.2,0.5,8,77.7,0.0,9,77.7,-0.8,7,78.5,0.5,6,78,-1.1,6,79.1,-1.1,6,80.2,0.8,6,79.4,
United Arab Emirates,18,76.2,-1.4,9,77.6,0.0,10,77.6,0.7,8,76.9,4.3,25,72.6,0.2,25,72.4,1.0,28,71.4,0.3,28,71.1,
Ireland,6,80.9,0.4,6,80.5,0.1,6,80.4,3.7,9,76.7,-0.6,8,77.3,0.7,9,76.6,0.4,9,76.2,0.5,11,75.7,
Chile,15,76.8,1.4,18,75.4,0.2,20,75.2,-1.3,10,76.5,-1.2,7,77.7,-0.8,7,78.5,-0.2,7,78.7,-0.3,7,79.0,
Taiwan,11,77.1,-0.2,10,77.3,0.7,13,76.6,0.1,11,76.5,1.8,14,74.7,-0.4,14,75.1,1.2,17,73.9,1.2,20,72.7,
United Kingdom,7,79.3,0.4,7,78.9,0.9,8,78.0,1.6,12,76.4,0.0,10,76.4,0.6,13,75.8,0.9,14,74.9,0.1,14,74.8,
Georgia,12,77.1,1.2,16,75.9,-0.3,16,76.2,0.2,13,76.0,3.4,23,72.6,0.4,22,73.0,0.4,22,72.6,0.4,21,72.2,
Luxembourg,19,75.8,-0.1,17,75.9,-0.5,14,76.4,0.5,14,75.9,2.0,19,73.9,0.7,21,73.2,-1.0,16,74.2,0.0,15,74.2,
Netherlands,14,77.0,0.2,13,76.8,0.6,17,76.2,0.4,15,75.8,1.2,16,74.6,0.9,17,73.7,-0.5,15,74.2,0.7,17,73.5,
Lithuania,16,76.7,2.5,21,74.2,-1.1,19,75.3,-0.5,16,75.8,0.6,13,75.2,0.5,15,74.7,1.7,21,73.0,0.9,22,72.1,
United States,17,76.6,-0.2,12,76.8,1.1,18,75.7,0.6,17,75.1,-0.3,11,75.4,-0.8,12,76.2,0.7,12,75.5,-0.5,10,76.0,
Denmark,8,78.3,1.6,14,76.7,0.1,12,76.6,1.5,18,75.1,-0.2,12,75.3,-1.0,11,76.3,0.2,10,76.1,0.0,9,76.1,
Sweden,22,74.9,-0.3,19,75.2,-1.1,15,76.3,1.4,19,74.9,2.9,26,72.0,-0.7,23,72.7,-0.4,20,73.1,0.2,18,72.9,
Latvia,32,71.9,1.5,35,70.4,-3.2,28,73.6,-1.2,20,74.8,4.4,36,70.4,0.7,37,69.7,1.0,42,68.7,2.2,55,66.5,
Mauritius,21,74.9,1.9,25,73.0,-2.1,21,75.1,0.4,21,74.7,0.0,15,74.7,-1.7,10,76.4,-0.1,8,76.5,-0.4,8,76.9,
Iceland,13,77.1,0.0,11,77.1,0.1,11,77.0,2.6,22,74.4,1.1,20,73.3,1.3,26,72.0,-0.4,23,72.4,0.3,23,72.1,
South Korea,25,74.0,1.7,29,72.3,-1.5,27,73.8,-0.5,23,74.3,2.6,27,71.7,0.2,29,71.5,0.3,31,71.2,0.9,34,70.3,
Finland,20,75.7,0.8,20,74.9,0.8,26,74.1,0.1,24,74.0,1.4,24,72.6,-0.8,19,73.4,0.0,19,73.4,-0.6,16,74.0,
