"('Country/Territory', 'Country/Territory')","('IMF[4][5]', 'Estimate')","('IMF[4][5]', 'Year')","('World Bank[6]', 'Estimate')","('World Bank[6]', 'Year')","('United Nations[7]', 'Estimate')","('United Nations[7]', 'Year')"
Monaco,—,—,256581,2023,256581,2023
Liechtenstein,—,—,186400,2022,201150,2023
Luxembourg,140941,2025,128678,2023,128936,2023
Bermuda,—,—,125842,2023,125842,2023
Ireland,108920,2025,103888,2023,106106,2023
Switzerland,104896,2025,99565,2023,100831,2023
Cayman Islands,—,—,97750,2023,97583,2023
Isle of Man,—,—,94300,2021,—,—
Singapore,92932,2025,84734,2023,86616,2023
Iceland,90284,2025,79637,2023,80827,2023
Norway,89694,2025,87925,2023,87932,2023
United States,89105,2025,82769,2023,80706,2023
Macau,76314,2025,67477,2023,64158,2023
Denmark,74969,2025,68454,2023,68440,2023
Channel Islands,—,—,74589,2023,—,—
Faroe Islands,—,—,71718,2023,—,—
Qatar,71653,2025,80195,2023,71499,2023
Netherlands,70450,2025,64572,2023,63803,2023
Australia,64548,2025,64821,2023,67129,2023
San Marino,59603,2025,54265,2022,58917,2023
Austria,58192,2025,56034,2023,56042,2023
Sweden,58100,2025,55517,2023,55439,2023
Belgium,57772,2025,54701,2023,55049,2023
Israel,57760,2025,52642,2023,55488,2023
Hong Kong,56031,2025,50532,2023,51166,2023
Germany,55911,2025,54343,2023,53528,2023
United Kingdom,54949,2025,49464,2023,49224,2023
Greenland,—,—,57116,2021,54374,2023
Finland,54163,2025,52926,2023,52762,2023
Canada,53558,2025,53431,2023,54517,2023
United Arab Emirates,51294,2025,49041,2023,48311,2023
France,46792,2025,44691,2023,44451,2023
New Zealand,46126,2025,48281,2023,48750,2023
Malta,45735,2025,40396,2023,41676,2023
Andorra,45263,2025,46812,2023,46812,2023
U.S. Virgin Islands,—,—,44321,2022,—,—
European Union[n 1],44220,2025,41423,2023,—,—
Guam,—,—,41833,2022,—,—
Cyprus,41132,[n 2]2025,36551,[n 2]2023,37077,[n 2]2023
Italy,41091,2025,39003,2023,38672,2023
British Virgin Islands,—,—,—,—,38627,2023
Puerto Rico,38605,2025,36779,2023,36367,2023
Sint Maarten (Dutch part),—,—,38076,2023,39237,2023
Aruba,37775,2025,33985,2023,33802,2023
Bahamas,36784,2025,35897,2023,35896,2023
Spain,36192,2025,33509,2023,33814,2023
Slovenia,35332,2025,32610,2023,32642,2023
New Caledonia,—,—,33516,2022,34981,2023
Brunei,34970,2025,32963,2023,32963,2023
South Korea,34642,2025,33121,2023,35538,2023
Taiwan,34426,[n 3]2025,—,—,—,—
Japan,33956,2025,33767,2023,33806,2023
Czech Republic,33039,2025,31591,2023,31750,2023
Estonia,32760,2025,30133,2023,30201,2023
Guyana,32326,2025,20765,2023,20189,2023
Lithuania,30835,2025,27786,2023,27956,2023
Turks and Caicos Islands,—,—,30349,2023,30349,2023
Saudi Arabia,30099,2025,32094,2023,32094,2023
Portugal,30002,2025,27331,2023,27718,2023
Kuwait,29951,2025,33730,2023,33832,2023
Bahrain,28857,2025,29219,2023,28453,2023
Anguilla,—,—,—,—,28850,2023
Slovakia,27130,2025,24491,2023,24086,2023
Poland,26805,2025,22057,2023,20876,2023
Barbados,25901,2025,23804,2023,23804,2023
Greece,25756,2025,23401,2023,23772,2023
Cook Islands,—,—,—,—,25750,2023
Croatia,25674,2025,21866,2023,21661,2023
Hungary,24809,2025,22142,2023,21954,2023
Latvia,24374,2025,22503,2023,22444,2023
Northern Mariana Islands,—,—,23786,2022,—,—
French Polynesia,—,—,20739,2022,22759,2023
Uruguay,22693,2025,22798,2023,22796,2023
Antigua and Barbuda,22630,2025,21787,2023,21787,2023
Curaçao,—,—,22192,2023,17697,2023
Saint Kitts and Nevis,21911,2025,22574,2023,22625,2023
Saint Martin (French part),—,—,21668,2021,—,—
Seychelles,21633,2025,17879,2023,16735,2023
Romania,21421,2025,18404,2023,18348,2023
Oman,20546,2025,21550,2023,20972,2023
Panama,20080,2025,18686,2023,18701,2023
Costa Rica,19095,2025,16942,2023,16942,2023
Palau,18993,2025,15899,2023,15899,2023
Bulgaria,18522,2025,15886,2023,15068,2023
Trinidad and Tobago,18445,2025,20016,2023,16960,2023
Cuba,—,—,9605,2020,18329,2023
Maldives,18207,2025,12530,2023,12530,2023
Montserrat,—,—,—,—,18197,2023
American Samoa,—,—,18018,2022,—,—
Chile,17015,2025,17068,2023,17068,2023
Turkey,16709,2025,13106,2023,12814,2023
Kazakhstan,15100,2025,12919,2023,13000,2023
Saint Lucia,14499,2025,13555,2023,13555,2023
Malaysia,14423,2025,11379,2023,11377,2023
Argentina,14362,2025,14188,2023,14187,2023
Russia,14258,2025,13817,2023,13809,2023
World,14217,2025,13170,2023,13097,2023
Serbia,14174,2025,12282,2023,11101,2023
China,13688,[n 4]2025,12614,[n 5]2023,12509,[n 4]2023
Montenegro,13508,2025,12222,2023,11885,2023
Turkmenistan,13338,2025,8233,2023,8132,2023
Nauru,12727,2025,12983,2023,14812,2023
Mexico,12692,2025,13790,2023,13826,2023
Grenada,12591,2025,11246,2023,11246,2023
Mauritius,12339,2025,11613,2023,11304,2023
Dominican Republic,11743,2025,10718,2023,10718,2023
Saint Vincent and the Grenadines,11162,2025,10520,2023,10767,2023
Albania,10527,2025,8575,2023,8172,2023
Brazil,9964,2025,10295,2023,10378,2023
North Macedonia,9882,2025,8624,2023,8606,2023
Dominica,9869,2025,10718,2023,9786,2023
Georgia,9571,[n 6]2025,8284,[n 6]2023,8020,[n 6]2023
Armenia,8857,2025,8053,2023,8228,2023
Gabon,8842,2025,7803,2023,8071,2023
Peru,8814,2025,7907,2023,7907,2023
Belize,8648,2025,7460,2023,7489,2023
Bosnia and Herzegovina,8362,2025,8639,2023,8639,2023
Moldova,8260,[n 7]2025,6729,[n 7]2023,5393,[n 7]2023
Marshall Islands,8133,2025,6678,2023,6952,2023
Colombia,8054,2025,6947,2023,6948,2023
Belarus,7875,2025,7829,2023,7883,2023
Jamaica,7778,2025,6840,2023,6840,2023
Thailand,7767,2025,7182,2023,7182,2023
Equatorial Guinea,7750,2025,6678,2023,6558,2023
Azerbaijan,7604,2025,7126,2023,7012,2023
Mongolia,7201,2025,5839,2023,5790,2023
Kosovo,7147,2025,5960,2023,6157,2023
Botswana,7021,2025,7820,2023,7820,2023
Ecuador,6942,2025,6610,2023,6610,2023
Suriname,6858,2025,5494,2023,5976,2023
Libya,6801,2025,6173,2023,6027,2023
Fiji,6740,2025,5889,2023,5889,2023
Guatemala,6698,2025,5763,2023,5763,2023
Tuvalu,6543,2025,6345,2023,6880,2023
Paraguay,6522,2025,6276,2023,6276,2023
South Africa,6397,2025,6023,2023,5976,2023
Ukraine,6261,[n 8]2025,5070,[n 8]2023,4737,[n 8]2023
El Salvador,5722,2025,5391,2023,5391,2023
Tonga,5721,2025,4933,2022,4859,2023
Algeria,5691,2025,5364,2023,5364,2023
Iraq,5668,2025,5565,2023,5149,2023
Samoa,5471,2025,4330,2023,4765,2023
Cape Verde,5421,2025,4851,2023,4961,2023
Micronesia,5291,2025,4084,2023,4084,2023
Lebanon,5282,2024,3654,2022,4757,2023
Indonesia,5027,2025,4876,2023,4876,2023
Jordan,4903,2025,4456,2023,4442,2023
Vietnam,4806,2025,4282,2023,4282,2023
Namibia,4661,2025,4168,2023,4168,2023
Eswatini,4613,2025,3611,2023,3717,2023
Tunisia,4528,2025,3978,2023,3979,2023
Bolivia,4525,2025,3686,2023,3686,2023
Morocco,4397,2025,3771,2023,3830,2023
Philippines,4350,2025,3805,2023,3805,2023
Djibouti,4343,2025,3555,2023,3469,2023
Sri Lanka,4325,2024,3828,2023,3673,2023
Bhutan,4302,2025,3711,2022,3839,2023
Venezuela,4068,2025,15944,2014,4925,2023
Iran,3897,2025,4466,2023,4432,2023
São Tomé and Príncipe,3569,2025,2941,2023,2963,2023
Honduras,3519,2025,3247,2023,3232,2023
Uzbekistan,3514,2025,2850,2023,2549,2023
Vanuatu,3492,2025,3515,2023,3492,2023
Palestine,3259,[n 9]2023,3372,[n 9]2023,3640,[n 10]2023
Egypt,3174,2025,3458,2023,2895,2023
Nicaragua,3019,2025,2613,2023,2613,2023
Angola,2884,2025,2308,2023,2464,2023
India,2878,2025,2481,2023,2487,2023
Ivory Coast,2872,2025,2531,2023,2528,2023
Cambodia,2870,2025,2430,2023,2458,2023
Kyrgyzstan,2747,2025,1970,2023,1977,2023
Bangladesh,2689,2025,2551,2023,2464,2023
Haiti,2672,2025,1706,2023,1705,2023
Papua New Guinea,2565,2025,2958,2023,2986,2023
Ghana,2519,2025,2260,2023,2260,2023
Mauritania,2478,2025,2121,2023,2121,2023
Kenya,2468,2025,1952,2023,1952,2023
Kiribati,2414,2025,2107,2023,2178,2023
Solomon Islands,2379,2025,2042,2023,2042,2023
Congo,2356,2025,2478,2023,2291,2023
Zimbabwe,2199,2025,2156,2023,1858,2023
Laos,2096,2025,2067,2023,1958,2023
Guinea,1904,2025,1541,2023,1597,2023
Cameroon,1865,2025,1737,2023,1737,2023
Comoros,1865,2025,1590,2023,1703,2023
Senegal,1811,2025,1706,2023,1682,2023
Pakistan,1581,2024,1365,2023,1212,2023
Benin,1532,2025,1394,2023,1394,2023
Timor-Leste,1491,2025,1503,2023,1503,2023
Nepal,1458,2025,1378,2023,1363,2023
Tajikistan,1432,2025,1161,2023,1161,2023
Uganda,1339,2025,1002,2023,1049,2023
Zambia,1332,2025,1331,2023,1331,2023
Tanzania,1280,2025,1225,2023,1209,[n 11]2023
Syria,—,—,1052,2022,1230,2023
Zanzibar,—,—,1225,2023,1374,2023
Myanmar,1178,2025,1233,2023,1147,2023
Guinea-Bissau,1127,2025,951,2023,855,2023
Burkina Faso,1107,2025,883,2023,883,2023
Lesotho,1098,2025,916,2023,916,2023
Ethiopia,1066,2025,1272,2023,1241,2023
Togo,1053,2025,986,2023,997,2023
Rwanda,1043,2025,1010,2023,1010,2023
Chad,991,2025,681,2023,913,2023
Gambia,988,2025,888,2023,890,2023
Mali,936,2025,869,2023,833,2023
Sierra Leone,916,2025,758,2023,758,2023
Liberia,908,2025,772,2023,917,2023
Nigeria,807,2025,1597,2023,1646,2023
Somalia,766,2025,598,2023,597,2023
Niger,751,2025,643,2023,643,2023
DR Congo,743,2025,628,2023,655,2023
Mozambique,663,2025,623,2023,623,2023
Eritrea,—,—,689,2011,656,2023
North Korea,—,—,—,—,640,2023
Sudan,625,2025,2183,2023,680,2023
Madagascar,595,2025,506,2023,598,2023
Malawi,580,2025,602,2023,509,2023
Central African Republic,532,2025,496,2023,496,2023
Burundi,490,2025,193,2023,289,2023
Yemen,417,2025,477,2023,222,2023
Afghanistan,409,2023,416,2023,396,2023
South Sudan,251,2025,1080,2015,403,2023
